architecture,source_dataset,target_dataset,bootstrap_requested_replicates,metric,bootstrap_valid_replicates,ci_95_lower,ci_95_upper
ecg_fm,georgia,mimic_iv,1000,auroc_av_block_1,1000,0.6131497100147574,0.6756743509676703
ecg_fm,georgia,mimic_iv,1000,auroc_lbbb,1000,0.8017503684856407,0.8633625159606692
ecg_fm,georgia,mimic_iv,1000,auroc_normal,1000,0.6354893538268744,0.6763167105216187
ecg_fm,georgia,mimic_iv,1000,auroc_rbbb,1000,0.771021919423396,0.8143353962648119
ecg_fm,georgia,mimic_iv,1000,macro_auroc,1000,0.7438688961849814,0.7671224282805612
ecg_fm,georgia,code_ii,1000,auroc_af_afl,1000,0.9221306113554428,0.9862548927136657
ecg_fm,georgia,code_ii,1000,auroc_av_block_1,1000,0.9732037946490385,0.9899886963264338
ecg_fm,georgia,code_ii,1000,auroc_lbbb,1000,0.9855257746936885,0.9952522006503939
ecg_fm,georgia,code_ii,1000,auroc_normal,1000,0.6936887778372322,0.7222706504257006
ecg_fm,georgia,code_ii,1000,auroc_rbbb,1000,0.9677194527172173,0.9901623709311987
ecg_fm,georgia,code_ii,1000,macro_auroc,1000,0.9156829054039207,0.9313701255703877
ecg_fm,mimic_iv,ptbxl,1000,auroc_af_afl,1000,0.9386934762971857,0.9846379597444711
ecg_fm,mimic_iv,ptbxl,1000,auroc_av_block_1,1000,0.787703542621229,0.8904118237506603
ecg_fm,mimic_iv,ptbxl,1000,auroc_lbbb,1000,0.9831257080095513,0.9971706576008408
ecg_fm,mimic_iv,ptbxl,1000,auroc_normal,1000,0.6845530659066551,0.7255570754490425
ecg_fm,mimic_iv,ptbxl,1000,auroc_rbbb,1000,0.9905396921475692,0.9962353351146062
ecg_fm,mimic_iv,ptbxl,1000,macro_auroc,1000,0.8858172758676046,0.9109876040702715
ecg_fm,mimic_iv,cpsc2018,1000,auroc_af_afl,1000,0.9805751933299686,0.9958799600021316
ecg_fm,mimic_iv,cpsc2018,1000,auroc_av_block_1,1000,0.9063013116841452,0.9622851904800179
ecg_fm,mimic_iv,cpsc2018,1000,auroc_lbbb,1000,0.8945514115987966,1.0
ecg_fm,mimic_iv,cpsc2018,1000,auroc_normal,1000,0.6105399416661546,0.7077043469155708
ecg_fm,mimic_iv,cpsc2018,1000,auroc_rbbb,1000,0.9668911040914413,0.9875909983155428
ecg_fm,mimic_iv,cpsc2018,1000,macro_auroc,1000,0.8879720553959239,0.9202046697145168
ecg_fm,mimic_iv,georgia,1000,auroc_af_afl,1000,0.9043855311878226,0.9744327753691093
ecg_fm,mimic_iv,georgia,1000,auroc_av_block_1,1000,0.8303648485782978,0.9230406433862338
ecg_fm,mimic_iv,georgia,1000,auroc_lbbb,1000,0.9853073591764071,0.9963684371409839
ecg_fm,mimic_iv,georgia,1000,auroc_normal,1000,0.6298187511028551,0.7115017166400771
ecg_fm,mimic_iv,georgia,1000,auroc_rbbb,1000,0.9385482765187583,0.9932773451668694
ecg_fm,mimic_iv,georgia,1000,macro_auroc,1000,0.8745092135704248,0.9059363825118681
ecg_fm,mimic_iv,mimic_iv,1000,auroc_af_afl,1000,0.9890121971850495,0.9947164500103484
ecg_fm,mimic_iv,mimic_iv,1000,auroc_av_block_1,1000,0.9764036501651162,0.9905722858626225
ecg_fm,mimic_iv,mimic_iv,1000,auroc_lbbb,1000,0.9682693293634792,0.9830539010241314
ecg_fm,mimic_iv,mimic_iv,1000,auroc_normal,1000,0.9821559905320909,0.9894350507233602
ecg_fm,mimic_iv,mimic_iv,1000,auroc_rbbb,1000,0.9730964392418626,0.9846768904628981
ecg_fm,mimic_iv,mimic_iv,1000,macro_auroc,1000,0.9807262989245628,0.9859801875084032
ecg_fm,mimic_iv,code_ii,1000,auroc_af_afl,1000,0.9164026925766958,0.985201220876991
ecg_fm,mimic_iv,code_ii,1000,auroc_av_block_1,1000,0.8427875161675767,0.9275588260719098
ecg_fm,mimic_iv,code_ii,1000,auroc_lbbb,1000,0.9917133674154849,0.9961674175158369
ecg_fm,mimic_iv,code_ii,1000,auroc_normal,1000,0.6123000312203927,0.6419292833618893
ecg_fm,mimic_iv,code_ii,1000,auroc_rbbb,1000,0.9772990295211662,0.9960135617995537
ecg_fm,mimic_iv,code_ii,1000,macro_auroc,1000,0.8788374426028132,0.9017082351528664
ecg_fm,code_ii,ptbxl,1000,auroc_af_afl,1000,0.9498573232680668,0.98879387900186
ecg_fm,code_ii,ptbxl,1000,auroc_av_block_1,1000,0.9060603833490123,0.9708183871977262
ecg_fm,code_ii,ptbxl,1000,auroc_lbbb,1000,0.9972205917862446,0.9994018149548145
ecg_fm,code_ii,ptbxl,1000,auroc_normal,1000,0.8907353348960294,0.9154210551793699
ecg_fm,code_ii,ptbxl,1000,auroc_rbbb,1000,0.9942718295883832,0.9982513340735335
ecg_fm,code_ii,ptbxl,1000,macro_auroc,1000,0.9545917570624872,0.9696459024548942
ecg_fm,code_ii,cpsc2018,1000,auroc_af_afl,1000,0.969497767292715,0.99235085735123
ecg_fm,code_ii,cpsc2018,1000,auroc_av_block_1,1000,0.9518790390695716,0.9908272735529918
ecg_fm,code_ii,cpsc2018,1000,auroc_lbbb,1000,0.9163603613244458,0.9971337668301685
ecg_fm,code_ii,cpsc2018,1000,auroc_normal,1000,0.8802299982336406,0.933143317313314
ecg_fm,code_ii,cpsc2018,1000,auroc_rbbb,1000,0.8451370392982288,0.917480010577131
ecg_fm,code_ii,cpsc2018,1000,macro_auroc,1000,0.9288292614688385,0.9549790667943089
ecg_fm,code_ii,georgia,1000,auroc_af_afl,1000,0.8827896938973383,0.968453394849031
ecg_fm,code_ii,georgia,1000,auroc_av_block_1,1000,0.9604644935681339,0.9852817429843721
ecg_fm,code_ii,georgia,1000,auroc_lbbb,1000,0.9868739182804752,0.9963913090745313
ecg_fm,code_ii,georgia,1000,auroc_normal,1000,0.8578277098687752,0.9049227470933181
