architecture,source_dataset,target_dataset,matched_five_label_source_diagonal_auroc,matched_five_label_external_auroc,matched_five_label_gap,binary_source_diagonal_auroc,binary_external_auroc,binary_gap,absolute_gap_reduction,gap_direction
inception_time,code_ii,mimic_iv,0.988035139436468,0.9060582379560812,0.08197690148038683,0.988248618841159,0.8934110970996217,0.09483752174153726,-0.012860620261150424,increased
inception_time,code_ii,ptbxl,0.988035139436468,0.9830306171641012,0.005004522272366807,0.988248618841159,0.9825773084432914,0.005671310397867613,-0.0006667881255008057,increased
inception_time,cpsc2018,code_ii,0.9862103034106612,0.942966258487959,0.043244044922702174,0.982390766250538,0.940800431516046,0.04159033473449203,0.0016537101882101446,reduced
inception_time,cpsc2018,georgia,0.9862103034106612,0.9379086995318,0.04830160387886118,0.982390766250538,0.9361654135338346,0.04622535271670336,0.002076251162157816,reduced
inception_time,cpsc2018,mimic_iv,0.9862103034106612,0.9112163056615564,0.07499399774910476,0.982390766250538,0.8514947497332428,0.1308960165172952,-0.05590201876819045,increased
inception_time,cpsc2018,ptbxl,0.9862103034106612,0.950802650485261,0.03540765292540016,0.982390766250538,0.9566772064238468,0.025713559826691212,0.009694093098708945,reduced
inception_time,georgia,code_ii,0.9625098678018846,0.96987393825069,-0.007364070448805382,0.9749749373433584,0.9711763168414256,0.0037986205019328034,-0.011162690950738186,increased
inception_time,georgia,cpsc2018,0.9625098678018846,0.9602210027710107,0.002288865030873888,0.9749749373433584,0.980157662505381,-0.005182725162022672,0.00747159019289656,reduced
inception_time,georgia,mimic_iv,0.9625098678018846,0.92520015201433,0.0373097157875546,0.9749749373433584,0.9130881794225112,0.06188675792084719,-0.024577042133292593,increased
inception_time,georgia,ptbxl,0.9625098678018846,0.9854517698281298,-0.02294190202624513,0.9749749373433584,0.9814557701792436,-0.006480832835885186,-0.016461069190359945,increased
inception_time,mimic_iv,code_ii,0.9760808936325752,0.927970124853554,0.04811076877902121,0.9374291678791996,0.979759873107633,-0.04233070522843341,0.09044147400745461,reduced
inception_time,mimic_iv,cpsc2018,0.9760808936325752,0.9141821629443428,0.06189873068823237,0.9374291678791996,0.9737677572105036,-0.03633858933130396,0.09823732001953633,reduced
inception_time,mimic_iv,georgia,0.9760808936325752,0.9423257490995296,0.03375514453304562,0.9374291678791996,0.9668170426065162,-0.029387874727316632,0.06314301926036225,reduced
inception_time,mimic_iv,ptbxl,0.9760808936325752,0.951970406215298,0.02411048741727717,0.9374291678791996,0.979932234766335,-0.04250306688713534,0.06661355430441251,reduced
inception_time,ptbxl,code_ii,0.9881604539350268,0.9758261167622656,0.012334337172761223,0.9906848139665294,0.9826695314822216,0.008015282484307829,0.004319054688453394,reduced
inception_time,ptbxl,cpsc2018,0.9881604539350268,0.933433431595747,0.05472702233927984,0.9906848139665294,0.965050581145071,0.02563423282145838,0.02909278951782146,reduced
inception_time,ptbxl,georgia,0.9881604539350268,0.941866768882434,0.04629368505259279,0.9906848139665294,0.972468671679198,0.01821614228733137,0.02807754276526142,reduced
inception_time,ptbxl,mimic_iv,0.9881604539350268,0.8969870486156137,0.09117340531941309,0.9906848139665294,0.8965305396579041,0.09415427430862533,-0.0029808689892122375,increased
resnet1d,code_ii,cpsc2018,0.985678158610731,0.9463091178032478,0.03936904080748327,0.987624663038242,0.960517111493758,0.027107551544484076,0.012261489262999192,reduced
