analysis_type,mapping_variant,architecture,source_dataset,target_dataset,is_diagonal,record_count,macro_auroc,auroc_normal,auroc_af_afl,auroc_av_block_1,auroc_lbbb,auroc_rbbb,auroc_bbb
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,cpsc2018,ptbxl,False,2198,0.91986563087275,0.8260914034615126,0.9616523684842887,0.8807265189574733,0.9947052929795467,0.9361525704809287,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,cpsc2018,ptbxl,False,2198,0.9433091877255593,,0.9616523684842887,0.8807265189574733,0.9947052929795467,0.9361525704809287,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,cpsc2018,ptbxl,False,2198,0.902531767025474,0.8247657245197826,0.9616523684842887,0.8807265189574733,,,0.9429824561403508
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,cpsc2018,cpsc2018,True,688,0.9823272481439524,0.9654581266413773,0.9943665643283324,0.9935854076479077,0.9690323795180723,0.9891937625840722,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,cpsc2018,cpsc2018,True,688,0.9823272481439524,0.9654581266413773,0.9943665643283324,0.9935854076479077,0.9690323795180723,0.9891937625840722,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,cpsc2018,cpsc2018,True,688,0.9865445285195962,,0.9943665643283324,0.9935854076479077,0.9690323795180723,0.9891937625840722,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,cpsc2018,cpsc2018,True,688,0.9854522955250957,0.9654581266413773,0.9943665643283324,0.9935854076479077,,,0.9883990834827655
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,cpsc2018,georgia,False,1034,0.9281313420677177,0.8529186762015633,0.9423071509009009,0.936530554085413,0.9912699436631832,0.9176303854875283,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,cpsc2018,georgia,False,1034,0.9281313420677177,0.8529186762015633,0.9423071509009009,0.936530554085413,0.9912699436631832,0.9176303854875283,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,cpsc2018,georgia,False,1034,0.9469345085342564,,0.9423071509009009,0.936530554085413,0.9912699436631832,0.9176303854875283,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,cpsc2018,georgia,False,1034,0.909638466980667,0.8529186762015633,0.9423071509009009,0.936530554085413,,,0.9067974867347908
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,cpsc2018,mimic_iv,False,5000,0.7626736736127679,0.7202429429025322,0.8203882143095604,0.6927957451002478,0.8511060593303584,0.7288354064211409,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,cpsc2018,mimic_iv,False,5000,0.7689472764721306,0.7516109571993455,0.8203882143095604,0.6927957451002478,0.8511060593303584,0.7288354064211409,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,cpsc2018,mimic_iv,False,5000,0.7732813562903269,,0.8203882143095604,0.6927957451002478,0.8511060593303584,0.7288354064211409,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,cpsc2018,mimic_iv,False,5000,0.7303102075005294,0.7202429429025322,0.8203882143095604,0.6927957451002478,,,0.6878139276897776
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,cpsc2018,code_ii,False,5000,0.9237910348433847,0.7345741572461011,0.9592280591842439,0.970373706846449,0.9910399473052036,0.9637393036349254,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,cpsc2018,code_ii,False,5000,0.9237910348433847,0.7345741572461011,0.9592280591842439,0.970373706846449,0.9910399473052036,0.9637393036349254,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,cpsc2018,code_ii,False,5000,0.9710952542427056,,0.9592280591842439,0.970373706846449,0.9910399473052036,0.9637393036349254,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,cpsc2018,code_ii,False,5000,0.9067236512097363,0.7345741572461011,0.9592280591842439,0.970373706846449,,,0.9627186815621511
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,georgia,ptbxl,False,2198,0.9456829986507603,0.8140846965244408,0.9668983294688193,0.9595761076696077,0.994022940851299,0.9938329187396352,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,georgia,ptbxl,False,2198,0.9458331783437846,0.8148355949895616,0.9668983294688193,0.9595761076696077,0.994022940851299,0.9938329187396352,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,georgia,ptbxl,False,2198,0.9785825741823403,,0.9668983294688193,0.9595761076696077,0.994022940851299,0.9938329187396352,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,georgia,ptbxl,False,2198,0.9273414048936541,0.8140846965244408,0.9668983294688193,0.9595761076696077,,,0.9688064859117491
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,georgia,cpsc2018,False,688,0.9410855784130892,0.8769331777064487,0.9772562706366216,0.9741387085137085,0.9447163654618475,0.9323833697468191,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,georgia,cpsc2018,False,688,0.9410855784130892,0.8769331777064487,0.9772562706366216,0.9741387085137085,0.9447163654618475,0.9323833697468191,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,georgia,cpsc2018,False,688,0.9571236785897492,,0.9772562706366216,0.9741387085137085,0.9447163654618475,0.9323833697468191,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,georgia,cpsc2018,False,688,0.9388612781064043,0.8769331777064487,0.9772562706366216,0.9741387085137085,,,0.9271169555688383
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,georgia,georgia,True,1034,0.9663832395790728,0.9461100947946117,0.9388020833333334,0.9795491864457382,0.995355438007999,0.9720993953136811,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,georgia,georgia,True,1034,0.9663832395790728,0.9461100947946117,0.9388020833333334,0.9795491864457382,0.995355438007999,0.9720993953136811,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,georgia,georgia,True,1034,0.9714515257751878,,0.9388020833333334,0.9795491864457382,0.995355438007999,0.9720993953136811,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,georgia,georgia,True,1034,0.9584564639704372,0.9461100947946117,0.9388020833333334,0.9795491864457382,,,0.969364491308065
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,georgia,mimic_iv,False,5000,0.7562262785627306,0.6569657261697613,0.8533692614389683,0.6438733151235263,0.8340720159411747,0.7928510741402224,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,georgia,mimic_iv,False,5000,0.7643500462236104,0.6975845644741598,0.8533692614389683,0.6438733151235263,0.8340720159411747,0.7928510741402224,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,georgia,mimic_iv,False,5000,0.7810414166609729,,0.8533692614389683,0.6438733151235263,0.8340720159411747,0.7928510741402224,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,georgia,mimic_iv,False,5000,0.7192117427822817,0.6569657261697613,0.8533692614389683,0.6438733151235263,,,0.7226386683968711
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,georgia,code_ii,False,5000,0.9239055770157322,0.7085658946823695,0.956175863566162,0.9826441357665932,0.9912021969080553,0.9809397941554806,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,georgia,code_ii,False,5000,0.9239055770157322,0.7085658946823695,0.956175863566162,0.9826441357665932,0.9912021969080553,0.9809397941554806,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,georgia,code_ii,False,5000,0.9777404975990728,,0.956175863566162,0.9826441357665932,0.9912021969080553,0.9809397941554806,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,georgia,code_ii,False,5000,0.9038315818066031,0.7085658946823695,0.956175863566162,0.9826441357665932,,,0.9679404332112873
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,mimic_iv,ptbxl,False,2198,0.8988350902168838,0.7046737380234676,0.9634686381410387,0.8412434812217371,0.9910819168048646,0.9937076768933112,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,mimic_iv,ptbxl,False,2198,0.8989638822444886,0.7053176981614924,0.9634686381410387,0.8412434812217371,0.9910819168048646,0.9937076768933112,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,mimic_iv,ptbxl,False,2198,0.9473754282652379,,0.9634686381410387,0.8412434812217371,0.9910819168048646,0.9937076768933112,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,mimic_iv,ptbxl,False,2198,0.8733226738096124,0.7046737380234676,0.9634686381410387,0.8412434812217371,,,0.9839048378522063
