analysis_type,architecture,source_dataset,target_dataset,aggregation,record_count_original,record_count_scored,excluded_all_zero_count,abnormal_prevalence,binary_auroc,five_label_macro_auroc_all_records,five_label_macro_auroc_binary_eligible_records
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,code_ii,noisy_or,5000,2321,2679,0.17578629900904783,0.961332677346945,0.8906435212457389,0.9304451127627592
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,code_ii,one_minus_normal,5000,2321,2679,0.17578629900904783,0.8003719391572626,0.8906435212457389,0.9304451127627592
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,ptbxl,max_abnormal,2198,1267,931,0.24388318863456984,0.9867003128145881,0.9625823240186605,0.9832078575571405
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.9877019275594382,0.9625823240186605,0.9832078575571405
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.9866428846504652,0.9625823240186605,0.9832078575571405
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.9454234825656478,0.9423564465464581,0.9440545840413048
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.9459212225570383,0.9423564465464581,0.9440545840413048
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.9558356650882479,0.9423564465464581,0.9440545840413048
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,georgia,max_abnormal,1034,403,631,0.56575682382134,0.9734962406015036,0.9490703556454771,0.9610896784647306
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,georgia,noisy_or,1034,403,631,0.56575682382134,0.9741854636591478,0.9490703556454771,0.9610896784647306
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.9570426065162909,0.9490703556454771,0.9610896784647306
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,mimic_iv,max_abnormal,5000,4732,268,0.32967032967032966,0.7183675469654348,0.6918535162810573,0.6909366298596453
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,mimic_iv,noisy_or,5000,4732,268,0.32967032967032966,0.7206463001584377,0.6918535162810573,0.6909366298596453
